ax,ay,az,prob1,prob2,prob3,movementLabel,infer_time
1.1777,-0.8456,-0.366,0.3228,0.3485,0.3286,jalar,0.0
1.1157,-0.8909,-0.2339,0.3228,0.3485,0.3286,jalar,0.0
1.0397,-0.9771,-0.1056,0.3228,0.3485,0.3286,jalar,0.0
1.1006,-0.9182,0.0396,0.3228,0.3485,0.3286,jalar,0.0
1.0997,-0.7274,0.0288,0.3228,0.3485,0.3286,jalar,0.0
1.1006,-0.5048,-0.0942,0.3228,0.3485,0.3286,jalar,0.0
1.0674,-0.2614,-0.3226,0.3228,0.3485,0.3286,jalar,0.0
1.0363,0.0056,-0.597,0.3228,0.3485,0.3286,jalar,0.0
1.0808,0.2292,-0.7908,0.3228,0.3485,0.3286,jalar,0.0
1.178,0.3473,-0.8657,0.3228,0.3485,0.3286,jalar,0.0
1.2581,0.3464,-0.8219,0.3228,0.3485,0.3286,jalar,0.0
1.4586,0.2341,-0.7113,0.3228,0.3485,0.3286,jalar,0.0
1.79,0.0736,-0.5356,0.3228,0.3485,0.3286,jalar,0.0
2.0426,-0.0677,-0.4209,0.3228,0.3485,0.3286,jalar,0.0
2.2751,-0.2418,-0.4546,0.3228,0.3485,0.3286,jalar,0.0
2.4978,-0.3275,-0.6641,0.3228,0.3485,0.3286,jalar,0.0
2.6248,-0.1958,-0.9414,0.3228,0.3485,0.3286,jalar,0.0
2.5975,-0.0247,-1.2275,0.3228,0.3485,0.3286,jalar,0.0
2.4729,0.0736,-1.4988,0.3228,0.3485,0.3286,jalar,0.0
2.2198,0.0266,-1.5636,0.3228,0.3485,0.3286,jalar,0.0
1.947,-0.1041,-1.353,0.3228,0.3485,0.3286,jalar,0.0
1.5906,-0.2659,-0.77,0.3228,0.3485,0.3286,jalar,0.0
1.2839,-0.3876,0.0035,0.3228,0.3485,0.3286,jalar,0.0
1.0269,-0.3882,0.7781,0.3228,0.3485,0.3286,jalar,0.0
0.7424,-0.3057,1.2471,0.3228,0.3485,0.3286,jalar,0.0
0.1833,-0.0734,1.3464,0.3228,0.3485,0.3286,jalar,0.0
-0.5231,0.1897,1.1395,0.3228,0.3485,0.3286,jalar,0.0
-1.2769,0.2407,0.7156,0.3228,0.3485,0.3286,jalar,0.0
-2.0824,0.009,0.1384,0.3228,0.3485,0.3286,jalar,0.0
-2.7321,-0.0748,-0.5428,0.3228,0.3485,0.3286,jalar,0.0
-2.6666,-0.4561,-1.0444,0.3228,0.3485,0.3286,jalar,0.0
-2.1241,-0.6537,-1.3165,0.3228,0.3485,0.3286,jalar,0.0
-1.7225,-0.7131,-1.5754,0.3228,0.3485,0.3286,jalar,0.0
-1.3695,-0.6028,-1.7202,0.3228,0.3485,0.3286,jalar,0.0
-1.215,-0.4761,-1.7596,0.3228,0.3485,0.3286,jalar,0.0
-1.0582,-0.3678,-1.6245,0.3228,0.3485,0.3286,jalar,0.0
-0.6132,-0.4425,-1.4185,0.3228,0.3485,0.3286,jalar,0.0
-0.2396,-0.6564,-1.2207,0.3228,0.3485,0.3286,jalar,0.0
-0.0308,-0.8618,-1.0302,0.3228,0.3485,0.3286,jalar,0.0
0.2189,-1.0045,-0.9178,0.3228,0.3485,0.3286,jalar,0.0
0.4127,-1.0358,-0.8613,0.3228,0.3485,0.3286,jalar,0.0
0.5232,-0.9817,-0.8374,0.3228,0.3485,0.3286,jalar,0.0
0.5636,-0.9098,-0.8132,0.3228,0.3485,0.3286,jalar,0.0
